Name,Instructions,Total Cycles,Total uOps
examples/InstCombine/add_mca_O3.txt,118600,544202,129500,
examples/InstCombine/div_mca_O3.txt,71800,163901,73300,
examples/InstCombine/cos-1_mca_O3.txt,13200,204301,16400,
examples/InstCombine/fcmp_mca_O3.txt,49800,111902,50200,
examples/SimplifyCFG/branch-cond-merge_mca_O3.txt,100,101,100,
examples/SimplifyCFG/branch-cond-prop_mca_O3.txt,100,101,100,
examples/SimplifyCFG/branch-fold-dbg_mca_O3.txt,200,202,200,
examples/SimplifyCFG/branch-fold-multiple_mca_O3.txt,3700,9002,3700,
examples/SimplifyCFG/branch-fold-test_mca_O3.txt,300,302,300,
examples/SimplifyCFG/branch-fold-three_mca_O3.txt,13200,137401,16200,
examples/SimplifyCFG/branch-fold-threshold_mca_O3.txt,3600,24102,4100,
examples/SimplifyCFG/branch-fold_mca_O3.txt,1300,1701,1300,
examples/SimplifyCFG/common-code-hoisting_mca_O3.txt,1700,51401,1900,
examples/SimplifyCFG/hoist-common-code_mca_O3.txt,400,401,400,
examples/SimplifyCFG/merge-default_mca_O3.txt,1000,11202,1200,
examples/SimplifyCFG/PhiEliminate_mca_O3.txt,900,11101,1200,
examples/SimplifyCFG/PHINode_mca_O3.txt,200,202,200,
examples/gmpbench/divide_mca_O3.txt,20000,287802,20200,
examples/gmpbench/gcd_mca_O3.txt,19400,277202,19600,
examples/gmpbench/gcdext_mca_O3.txt,20200,287402,20400,
examples/gmpbench/gmpver_mca_O3.txt,1400,11802,1500,
examples/gmpbench/multiply_mca_O3.txt,22600,310602,22800,
examples/gmpbench/pi_mca_O3.txt,201900,1912202,202900,
examples/gmpbench/rsa_mca_O3.txt,42400,804101,43000,
examples/MemCpyOpt/callslot_mca_O3.txt,6300,105702,7200,
examples/MemCpyOpt/lifetime_mca_O3.txt,3000,33301,3600,
examples/MemCpyOpt/memcpy_mca_O3.txt,31800,365002,36700,
examples/MemCpyOpt/memmove_mca_O3.txt,2500,13001,2800,
examples/MemCpyOpt/load-store-to-memcpy_mca_O3.txt,2200,2701,2200,
examples/MemCpyOpt/sret_mca_O3.txt,1300,11602,1400,
examples/PhaseOrdering/addsub_mca_O3.txt,1300,2501,1300,
examples/PhaseOrdering/scalarization_mca_O3.txt,3200,2302,3200,
examples/PhaseOrdering/shuffle_mca_O3.txt,8900,21501,8900,
examples/PhaseOrdering/SROA-after-loop-unrolling_mca_O3.txt,2400,51201,2900,
examples/PhaseOrdering/vector-math_mca_O3.txt,400,701,400,
examples/PhaseOrdering/vdiv_mca_O3.txt,9200,18302,9900,
examples/PhaseOrdering/simplifycfg-late_mca_O3.txt,900,1202,900,
examples/PhaseOrdering/loadcombine_mca_O3.txt,31200,48001,31200,
examples/PhaseOrdering/hoist-load-of-baseptr_mca_O3.txt,3500,4501,3700,
examples/PhaseOrdering/excessive-unrolling_mca_O3.txt,12800,26402,16300,
